Id-Doc,ArabicTitle,EnglishTitle
D001, دراسة وتنفيذ الخدمة التجريبية لراينر توب ,Study and implementation of pilot service for Rainer Top
D002, الأخطاء التركيبية لدى متعلمي اللغة العربية طلبة برنامج تعليم اللغة العربية للناطقين   بغيرها بجامعة قطر نموذجا ً ,Syntactic errors among Arabic language learners Students of the Arabic language program for non-Arabic speakers at Qatar University modeled
D003, الاصلاح الأسري في ضوء الشريعة و النظريات النفسية المعاصرة ,Family reform in the light of Sharia and contemporary psychological theories
D004, دراسة مقارنة بين فرضيات دولة العقيدة والأمة والفرضيات المعارضة ,A comparative study between the assumptions of the state of creed and the nation and the opposing hypotheses
D005, توصيف الأجسام المضادة وحيدة النسيلة الفأرية الخاصة بمرض باركنسون ,Characterization of Mouse Monoclonal Antibodies Specific for Parkinson's Disease Pathology
D006, المنهاج القرآني في تقويم العاطفة تجاه الأهل والعشيرة ,The Qur'anic curriculum in evaluating the passion towards the parents and the clan
D007, التأثير الإسلامي في فكر العالم اليهودي سعيد بن يوسف الفيومي ,The Islamic Influence in the Thought of the Jewish World Said Bin Yusuf Al Fayoumi
D008, تقدير وتصفية التوافقيات ,estimation and filtering of harmonics
D009, دراسة EPR لمجمعات الفاناديل مع قواعد شيف المشتقة من S-Methyl - ,EPR study of vanadyl complexes with Schiff bases derived from S-Methyl-Carbodithioato-Hydrazine
D010, التحليل الكيميائي لبعض عقارات البنسلين والسيفالوسبورين ,Chemical analysis of some penicillin and cephalosporin properties
D011, دراسة السياسة العامة لمكافحة التلوث النفطي البحري في دولة قطر ,Study the general policy to combat marine oil pollution in the State of Qatar
D012, الدولة الإسلامية تساؤلات الضرورة والإستحالة ,Islamic state questions of necessity and impossibility
D013, جهود علماء المسلمين في تصنيف الأديان في ضوء علم تاريخ الأديان المعاصر ,The efforts of Muslim scholars in the classification of religions in light of the history of contemporary religions
D014, تطوير محرك بحث وفهرسة مستندات قرآنية ,Development of a search and indexing engine coranic documents
D015, تصور وتنفيذ محرر النص CoraniqueAuthentic ,Conception and realization of a text editor CoraniqueAuthentic
D016, الخصائص المحلية لاحد الرواسم الهرمونية من نوع كثيرات الحدود ,Local Properties of Some Polynomial Classes of Harmonic Mappings
D017," تدخلات محفزة إيدولوجيا في الترجمة العربية: توماس فريدمان في صحيفة ""الشرق   الأوسط"" ","Advocacy-driven interventions in Arabic translation: Thomas Friedman in the newspaper ""Middle East"""
D018, الإعلان الإسلامي بشأن تغير المناخ: حل للاحترار العالمي؟ ,Islamic Declaration on Climate Change: A Solution to Global Warming?
D019, استثمار أموال الوقف في الفقه الإسلامي والتجربة الإندونيسية ,Investing Waqf funds in Islamic jurisprudence and Indonesian experience
D020, التربية الإسلامية في أواخر اسطنبول العثمانية: إصلاح المدرس والمدرسة (1908-1924),Islamic Education in Late Ottoman Istanbul: Ulema and Madrasa Reform (1908-1924)
D021, العلاقات الاجتماعية لحركة طالبان ,Taliban social relations
D022, يمكن الوصول إلى صنع التاريخ الشفوي من خلال الترجمة ,Making oral history can be accessed Through SubTitles
D023, البنية القانونية للتمويل الإسلامي في قطر ,The Legal Infrastructure of Islam Finance in Qatar
D024, العلاقات بين قطر وتركيا من الناحية السياسية والاقتصادية و المنظور العسكري ,"Qatar-Turkey Relations from Political, Economical and Military Perspectives"
D025," قوامة الرجال على النساء في كتب التفسير, دراسة تحليلية تطبيقية على المجتمع  القطري ",The rule of men over women in the books of interpretation An Analytical and Applied Study on the Qatari Community
D026," المراد بكلمة دعاء في حياة نساء المسلم السني، دراسة ارتقائية في الدوحة ","What is meant by the word Duaa in the life of Sunni Muslim women, a qualitative study in Doha"
D027, تطور الفتاوى المصرفية من جنوب شرق آسيا والخليج العربي: دراسة فقهية مقارنة ,Evolution of Banking Fatwas from Southeast Asia and the Arabian Gulf: A Comparative Juristic Study
D028, التحوط ضد مخاطر معدل العائد في المصارف الإسلامية مع إشارة خاصة إلى البنوك  الإسلامية الخليجية ,Hedging Against Rate of Return Risk in Islamic Banks with Special Reference to GCC Islamic Banks
D029, موفري خدمات الترجمة في قطر : نحو نموذج متماسك ومأمون ,TRANSLATION SERVICE PROVIDERS IN QATAR AND CONFIDENTIALITY: TOWARD A CONSISTENT AND SECURE MODEL
D030, تنسيق ترجمة: الترجمة العربية والتحليل بتطبيق مونداي لإطار التقييم لدراسات  الترجمة ,TRANSLATING METALANGUAGE: AN ARABIC TRANSLATION AND ANALYSIS OF MUNDAY'S APPLICATION OF THE APPRAISAL FRAMEWORK TO TRANSLATION STUDIES
D031, الألفاظ الدالة على القول في القرآن الكريم (دراسة دلالية) ,The indicating words used in the Holy Quran (a semantic study)
D032, المنهاج القرآني في مواجهة الفساد المالي ,The Quranic curriculum in the face of financial corruption
D033, النص وتشكلاته الثقافية في الفكر الحداثي عند أدونيس ,Text and its Cultural Formations in Modernist Thought at Adonis
D034, الهرمية الدينية بين الكاثوليك والشيعة الإمامية : دراسة تحليلية ,Religious Hierarchy between Catholics and Imams: An Analytical Study
D035, دراسة السياسة العامة لمكافحة التلوث النفطي البحري في دولة قطر ,Study the general policy to combat marine oil pollution in the State of Qatar
D036, دور حملات التوعية في تكوين معرفة ووعي الجمهور القطري بالسلوكيات الإيجابية ,The role of awareness campaigns in the formation of knowledge and awareness of the Qatari public with positive behaviors
D037, رؤية جديدة لدور المؤسسات المالية الإسلامية في تمويل رأس المال الإنتاجي و البشري ,A new vision for the role of Islamic financial institutions in financing productive and human capital
D038, مفهوم الهيمنة في القران الكريم ,The concept of hegemony in the Quran
D039, من دعاوى المستشرق جولدتسيهر حول العقيدة - موقف الشيخ محمد الغزالي ,From the claims of orientalist Goldeshehr on the doctrine ‐ the posi on of Sheikh Mohammed al ‐ Ghazali
D040, الوكالة بأجر وتطبيقاتها في المؤسسات المالية في دولة قطر ,Wage Agency and its applications in financial institutions in the State of Qatar
D041, اهمية المعجم لدى الطفل القطري ,The importance of the lexicon in the Qatari child
D042, إمتصاص موجات الضوء وانتقال الطاقة في طبقة سيليكون رقيقة وارتباطها بالتطبيقات ,Absorption of light waves and energy transfer in a thin silicon layer and their association with applications
D043," الدراسات الصوتة والمقاومة لعضو الخبر, تشكيل الدمام ,المحافظة الشرقية, المملكة العربية السعودية","ACOUSTIC AND RESISTIVITY STUDIES OF THE KHOBAR MEMBER, THE DAMMAM FORMATION, EASTERN PROVINCE, SAUDI ARABIA"
D044,التحكم في الضوضاء الصوتية باستخدام غرف توسعه متعدده,ACOUSTIC NOISE CONTROL USING MULTIPLE EXPANSION CHAMBERS
D045,الحقل الصوتي في محيط غير متجانس,The acoustic field in a heterogeneous setting
D046,مولدات ذبذبه ومرشحات باستخدام مكبر العمليات ذو التغذيه التياريه الراجعه,ACTIVE FILTERS AND OSCILLATORS USING CURRENT FEEDBACK OPERATIONAL AMPLIFIERS
D047,البلازونات النشط : طرق جديدة لتحويل البلازمونات السطحية,ACTIVE PLASMONICS: SURFACE PLASMON POLARITON MODULATION
D048,فعالية الحفاز N i/y A l20 3 لتفاعل الميثان,Activity of N i/y A l20 3 catalyst for a methanation reaction
D049,تكييف تابو البحث عبر الانترنت لاستيعاب التغيرات في الطلب على شبكه البيانات,Adapting Tabu Search to Accommodate Online demand variations in a Data Network
D050, تقدير خوارزمات التكفة للقناة: استخدام المعلومات المسقة للتصمم الأمثل ,ADAPTIVE ALGORITHMS FOR CHANNEL ESTIMATION: USING APRIORI INFORMATION FOR OPTIMAL DESIGN
D051,التحكم التكيفي في الموقف من الاقمار الصناعيه,ADAPTIVE ATTITUDE CONTROL OF SATELLITE
D052, القنوات شه العماء واستعادة البانات  OFDM,SEMI BLIND CHANNEL AND DATA RECOVERY IN OFDM
D053, وحدات نقية تماما ومفاهيم ذات صلة ,ABSOLUTELY PURE MODULES AND RELATED CONCEPTS
D054, المساوات التكيفية باستخدام معدل مربع الخطا ,Adaptive equality using a square error rate
D055, موقع الخطأ التكيفي في شبكات نظام الطاقة  استنادا الى قياسات المرحله المتزامنه,Adaptive Fault Location in Power System Networks Based on Synchronized Phasor Measurements
D056, الترشيح المتكيف باستخدام خوارزمية النورم المختلط الاصغري وتطبيقه في حذف   الصدى ,ADAPTIVE FILTERING USING THE LEAST-MEAN MIXED-NORMS ALGORITHM AND ITS APPLICATION TO ECHO CANCELLATION
D057, التحكم في الطراز الداخلي الضبابي التكيفي ,ADAPTIVE FUZZY INTERNAL MODEL CONTROL
D058, إطار تكيفي مبني على المنطق الضبابي للتعامل مع عدم الدقة وعدم اليقين في تصنيف   الأنماط لمجموعات بيانات المعلوماتية الحيوية ,Adaptive Fuzzy Logic Based Framework for Handling Imprecision and Uncertainty in Pattern Classification of Bioinformatics Datasets
D059, إطار منطقي تكيفي للتعامل مع عدم الدقة وعدم اليقين في نماذج التنبؤ بجهد تطوير  البرامج ,ADAPTIVE FUZZY LOGIC BASED FRAMEWORK FOR HANDLING IMPRECISION AND UNCERTAINTY IN SOFTWARE DEVELOPMENT EFFORT PREDICTION MODELS
D060, ترميز تصحيح أخطاء إعادة التوجيه التكيفي لأنظمة الاتصال المتنوعة ,ADAPTIVE FORWARD ERROR CORRECTION CODING FOR DIVERSITY COMMUNICATION SYSTEMS
D061, الإطار المنطقي الضبابي التكيفي للتنبؤ بجهود تطوير البرامج ,ADAPTIVE FUZZY LOGIC BASED FRAMEWORK FOR SOFTWARE DEVELOPMENT EFFORT PREDICTION
D062, الاكتشاف التكيفي متعدد المستخدمين باستخدام معادل تعليقات القرار لإلغاء التداخل ُ ,Adaptive Multiuser Detection with Decision Feedback Equalizer for Interference Cancellation
D063, وحدة تحكم شبكات عصبية تكيفية لفاصل الزيت / الماء للسطح المضمن ,AN ADAPTIVE NEURAL NETWORKS CONTROLLER FOR THE INLINE SURFACE OIL/WATER SEPARATOR
D064, وحدة تحكم مثالية في SMES لتحسين الأداء لنظام الرياح PMSG ,AN ADAPTIVE OPTIMUM SMES CONTROLLER FOR PERFORMANCE EHANCEMENT OF PMSG WIND SYSTEM
D065, اعتماد نماذج DCPS في الوقت الفعلي لجودة الخدمة (QoS) ومقاييس الموثوقية   الأخرى على الأداء العالي وحوسبة الشبكة ,Adopting QoS Real-Time DCPS Models and Other Reliability Measures on High Performance and Grid Computing
D066, معادلة تكيفية تعتمد على تقنيات تحسين حشد الجسيمات ,Adaptive Equalization Based on Particle Swarm Optimization Techniques
D067, نموذج هجين AHP و DEA لتجميع مقاييس الأداء وترتيب وحدات اتخاذ القرار ,AHP and DEA Hybrid Model for Performance Measures Aggregation and Ranking of Decision Making Units
