,document,relevant,recall,precision,f-measure
0,D305,True,0.015,1.0,0.03
1,D346,True,0.031,1.0,0.06
2,D429,True,0.046,1.0,0.088
3,D391,True,0.062,1.0,0.116
4,D092,True,0.077,1.0,0.143
5,D290,True,0.092,1.0,0.169
6,D345,True,0.108,1.0,0.194
7,D425,True,0.123,1.0,0.219
8,D280,True,0.138,1.0,0.243
9,D355,True,0.154,1.0,0.267
10,D374,True,0.169,1.0,0.289
11,D306,True,0.185,1.0,0.312
12,D157,True,0.2,1.0,0.333
13,D416,True,0.215,1.0,0.354
14,D341,True,0.231,1.0,0.375
15,D517,True,0.246,1.0,0.395
16,D063,True,0.262,1.0,0.415
17,D049,True,0.277,1.0,0.434
18,D287,True,0.292,1.0,0.452
19,D595,True,0.308,1.0,0.471
20,D158,True,0.323,1.0,0.488
21,D300,True,0.338,1.0,0.506
22,D335,False,0.338,0.957,0.5
23,D171,True,0.354,0.958,0.517
24,D099,True,0.369,0.96,0.533
25,D502,False,0.369,0.923,0.527
26,D578,True,0.385,0.926,0.543
27,D102,True,0.4,0.929,0.559
28,D426,True,0.415,0.931,0.574
29,D055,True,0.431,0.933,0.589
30,D330,False,0.431,0.903,0.583
31,D471,True,0.446,0.906,0.598
32,D577,True,0.462,0.909,0.612
33,D339,True,0.477,0.912,0.626
34,D091,False,0.477,0.886,0.62
35,D325,True,0.492,0.889,0.634
36,D351,True,0.508,0.892,0.647
37,D089,True,0.523,0.895,0.66
38,D065,True,0.538,0.897,0.673
39,D112,True,0.554,0.9,0.686
40,D365,True,0.569,0.902,0.698
41,D001,True,0.585,0.905,0.71
42,D154,True,0.6,0.907,0.722
43,D353,True,0.615,0.909,0.734
44,D376,False,0.615,0.889,0.727
45,D497,True,0.631,0.891,0.739
46,D165,False,0.631,0.872,0.732
47,D484,True,0.646,0.875,0.743
48,D135,False,0.646,0.857,0.737
49,D064,True,0.662,0.86,0.748
50,D404,True,0.677,0.863,0.759
51,D138,False,0.677,0.846,0.752
52,D384,False,0.677,0.83,0.746
53,D389,True,0.692,0.833,0.756
54,D133,True,0.708,0.836,0.767
55,D385,True,0.723,0.839,0.777
56,D117,False,0.723,0.825,0.77
57,D369,True,0.738,0.828,0.78
58,D257,True,0.754,0.831,0.79
59,D493,True,0.769,0.833,0.8
60,D495,False,0.769,0.82,0.794
61,D473,True,0.785,0.823,0.803
62,D268,True,0.8,0.825,0.812
63,D082,False,0.8,0.812,0.806
64,D240,True,0.815,0.815,0.815
65,D270,True,0.831,0.818,0.824
66,D356,True,0.846,0.821,0.833
67,D239,False,0.846,0.809,0.827
68,D134,False,0.846,0.797,0.821
69,D251,True,0.862,0.8,0.83
70,D589,False,0.862,0.789,0.824
71,D056,True,0.877,0.792,0.832
72,D427,True,0.892,0.795,0.841
73,D266,False,0.892,0.784,0.835
74,D167,False,0.892,0.773,0.829
75,D387,False,0.892,0.763,0.823
76,D265,False,0.892,0.753,0.817
77,D367,True,0.908,0.756,0.825
78,D436,False,0.908,0.747,0.819
79,D526,True,0.923,0.75,0.828
80,D227,False,0.923,0.741,0.822
81,D600,False,0.923,0.732,0.816
82,D437,False,0.923,0.723,0.811
83,D107,False,0.923,0.714,0.805
84,D141,False,0.923,0.706,0.8
85,D381,True,0.938,0.709,0.808
86,D199,False,0.938,0.701,0.803
87,D200,False,0.938,0.693,0.797
88,D162,False,0.938,0.685,0.792
89,D499,True,0.954,0.689,0.8
90,D500,False,0.954,0.681,0.795
91,D490,False,0.954,0.674,0.79
92,D140,False,0.954,0.667,0.785
93,D119,False,0.954,0.66,0.78
