,document,relevant,recall,precision,f-measure
0,D005,True,0.2,1.0,0.333
1,D258,False,0.2,0.5,0.286
2,D196,False,0.2,0.333,0.25
3,D579,False,0.2,0.25,0.222
4,D442,False,0.2,0.2,0.2
5,D198,False,0.2,0.167,0.182
6,D426,False,0.2,0.143,0.167
7,D138,False,0.2,0.125,0.154
8,D631,True,0.4,0.222,0.286
9,D132,False,0.4,0.2,0.267
10,D010,True,0.6,0.273,0.375
11,D479,False,0.6,0.25,0.353
12,D627,False,0.6,0.231,0.333
13,D492,False,0.6,0.214,0.316
14,D337,False,0.6,0.2,0.3
15,D434,False,0.6,0.188,0.286
16,D162,False,0.6,0.176,0.273
