,document,relevant,recall,precision,f-measure
0,D109,True,0.077,1.0,0.143
1,D118,True,0.154,1.0,0.267
2,D327,True,0.231,1.0,0.375
3,D181,False,0.231,0.75,0.353
4,D194,False,0.231,0.6,0.333
5,D163,False,0.231,0.5,0.316
6,D108,True,0.308,0.571,0.4
7,D428,True,0.385,0.625,0.476
8,D164,True,0.462,0.667,0.545
9,D119,True,0.538,0.7,0.609
10,D591,False,0.538,0.636,0.583
11,D107,True,0.615,0.667,0.64
12,D596,False,0.615,0.615,0.615
13,D030,True,0.692,0.643,0.667
14,D263,False,0.692,0.6,0.643
15,D002,True,0.769,0.625,0.69
16,D238,False,0.769,0.588,0.667
17,D405,True,0.846,0.611,0.71
18,D170,False,0.846,0.579,0.688
19,D146,False,0.846,0.55,0.667
20,D214,False,0.846,0.524,0.647
21,D503,False,0.846,0.5,0.629
22,D482,False,0.846,0.478,0.611
23,D298,False,0.846,0.458,0.595
24,D488,False,0.846,0.44,0.579
25,D124,False,0.846,0.423,0.564
26,D296,False,0.846,0.407,0.55
27,D349,False,0.846,0.393,0.537
28,D465,False,0.846,0.379,0.524
29,D149,False,0.846,0.367,0.512
30,D286,False,0.846,0.355,0.5
31,D159,False,0.846,0.344,0.489
32,D393,False,0.846,0.333,0.478
33,D498,False,0.846,0.324,0.468
34,D034,False,0.846,0.314,0.458
35,D254,False,0.846,0.306,0.449
36,D043,False,0.846,0.297,0.44
37,D126,False,0.846,0.289,0.431
38,D172,False,0.846,0.282,0.423
39,D212,False,0.846,0.275,0.415
40,D151,False,0.846,0.268,0.407
41,D033,False,0.846,0.262,0.4
42,D343,False,0.846,0.256,0.393
43,D224,False,0.846,0.25,0.386
44,D283,False,0.846,0.244,0.379
45,D199,False,0.846,0.239,0.373
46,D027,False,0.846,0.234,0.367
47,D142,False,0.846,0.229,0.361
48,D419,False,0.846,0.224,0.355
49,D489,False,0.846,0.22,0.349
50,D041,False,0.846,0.216,0.344
51,D303,False,0.846,0.212,0.338
52,D148,False,0.846,0.208,0.333
53,D122,False,0.846,0.204,0.328
54,D555,False,0.846,0.2,0.324
55,D143,False,0.846,0.196,0.319
56,D566,False,0.846,0.193,0.314
57,D285,False,0.846,0.19,0.31
58,D147,False,0.846,0.186,0.306
59,D475,False,0.846,0.183,0.301
60,D578,False,0.846,0.18,0.297
61,D200,False,0.846,0.177,0.293
62,D588,False,0.846,0.175,0.289
63,D507,True,0.923,0.188,0.312
64,D022,False,0.923,0.185,0.308
65,D278,False,0.923,0.182,0.304
66,D461,False,0.923,0.179,0.3
67,D038,False,0.923,0.176,0.296
68,D232,False,0.923,0.174,0.293
69,D302,False,0.923,0.171,0.289
70,D408,False,0.923,0.169,0.286
71,D594,False,0.923,0.167,0.282
72,D399,False,0.923,0.164,0.279
73,D532,False,0.923,0.162,0.276
74,D466,False,0.923,0.16,0.273
75,D483,False,0.923,0.158,0.27
76,D565,False,0.923,0.156,0.267
77,D348,False,0.923,0.154,0.264
78,D024,False,0.923,0.152,0.261
79,D433,False,0.923,0.15,0.258
80,D217,False,0.923,0.148,0.255
81,D342,False,0.923,0.146,0.253
82,D452,False,0.923,0.145,0.25
83,D543,False,0.923,0.143,0.247
84,D017,False,0.923,0.141,0.245
85,D192,False,0.923,0.14,0.242
86,D215,False,0.923,0.138,0.24
87,D218,False,0.923,0.136,0.238
88,D235,False,0.923,0.135,0.235
89,D317,False,0.923,0.133,0.233
90,D602,False,0.923,0.132,0.231
91,D621,False,0.923,0.13,0.229
92,D261,False,0.923,0.129,0.226
93,D368,False,0.923,0.128,0.224
94,D606,False,0.923,0.126,0.222
95,D115,False,0.923,0.125,0.22
96,D281,False,0.923,0.124,0.218
97,D246,False,0.923,0.122,0.216
98,D207,False,0.923,0.121,0.214
99,D160,False,0.923,0.12,0.212
100,D220,False,0.923,0.119,0.211
101,D616,False,0.923,0.118,0.209
102,D474,False,0.923,0.117,0.207
103,D589,False,0.923,0.115,0.205
104,D014,False,0.923,0.114,0.203
105,D387,False,0.923,0.113,0.202
106,D234,False,0.923,0.112,0.2
107,D373,False,0.923,0.111,0.198
108,D477,False,0.923,0.11,0.197
109,D587,False,0.923,0.109,0.195
110,D003,False,0.923,0.108,0.194
111,D523,False,0.923,0.107,0.192
112,D114,False,0.923,0.106,0.19
113,D282,False,0.923,0.105,0.189
114,D492,False,0.923,0.104,0.187
115,D059,False,0.923,0.103,0.186
116,D225,False,0.923,0.103,0.185
117,D015,False,0.923,0.102,0.183
118,D563,False,0.923,0.101,0.182
119,D128,False,0.923,0.1,0.18
120,D311,False,0.923,0.099,0.179
121,D434,False,0.923,0.098,0.178
122,D494,False,0.923,0.098,0.176
123,D037,False,0.923,0.097,0.175
124,D457,False,0.923,0.096,0.174
125,D066,False,0.923,0.095,0.173
126,D534,False,0.923,0.094,0.171
127,D035,False,0.923,0.094,0.17
128,D153,False,0.923,0.093,0.169
129,D279,False,0.923,0.092,0.168
130,D476,False,0.923,0.092,0.167
131,D011,False,0.923,0.091,0.166
132,D007,True,1.0,0.098,0.178
