Interpolated Precision  Q3 (networks),,,,,,,,,Interpolated Precision  Q3 (networks),,,,,,
Recall ,without reformulation,,Automatic reformulation,,Automatic reformulation  + user validation,,,,Recall ,without reformulation,,Automatic reformulation,,Automatic reformulation  + user validation,
,,,,,,,,,,,,,,,
,BM25,PL2,BM25,PL2,BM25,PL2,,,,BM25,PL2,BM25,PL2,BM25,PL2
0,1,1,1,1,1,1,,,0,1,1,1,1,1,1
0.1,1,1,1,1,1,1,,,0.1,1,1,1,1,1,1
0.2,1,1,1,1,1,1,,,0.2,1,1,1,1,1,1
0.3,0.8,0.71,0.667,0.667,0.43,0.423,,,0.3,1,1,1,1,1,1
0.4,0.74,0.697,0.31,0.32,0.407,0.41,,,0.4,0.93,0.96,0.93,0.96,0.93,0.96
0.5,0.727,0.683,0.303,0.307,0.387,0.397,,,0.5,0.91,0.92,0.91,0.92,0.91,0.92
0.6,0.727,0.673,0.303,0.307,0.387,0.397,,,0.6,0.91,0.92,0.91,0.92,0.91,0.92
0.7,0.523,0.5,0.28,0.29,0.28,0.29,,,0.7,0.84,0.87,0.84,0.87,0.84,0.87
0.8,0.52,0.48,0.277,0.277,0.277,0.277,,,0.8,0.83,0.83,0.83,0.83,0.83,0.83
0.9,0.323,0.317,0.253,0.253,0.253,0.253,,,0.9,0.76,0.76,0.76,0.76,0.76,0.76
1,0.033,0.033,0,0,0,0,,,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interpolated Precision  Q2 (Arabic),,,,,,,,,Interpolated Precision  Q1 (Antiviral ),,,,,,
Recall ,without reformulation,,Automatic reformulation,,Automatic reformulation  + user validation,,,,Recall ,without reformulation,,Automatic reformulation,,Automatic reformulation  + user validation,
,,,,,,,,,,,,,,,
,BM25,PL2,BM25,PL2,BM25,PL2,,,,BM25,PL2,BM25,PL2,BM25,PL2
0,1,1,1,1,1,1,,,0,1,1,1,1,1,1
0.1,1,1,1,1,1,1,,,0.1,1,1,1,1,1,1
0.2,1,1,1,1,1,1,,,0.2,1,1,1,1,1,1
0.3,1,0.7,1,1,0,0,,,0.3,0.4,0.43,0,0,0.29,0.27
0.4,0.89,0.7,0,0,0,0,,,0.4,0.4,0.43,0,0,0.29,0.27
0.5,0.89,0.7,0,0,0,0,,,0.5,0.38,0.43,0,0,0.25,0.27
0.6,0.89,0.67,0,0,0,0,,,0.6,0.38,0.43,0,0,0.25,0.27
0.7,0.73,0.63,0,0,0,0,,,0.7,0,0,0,0,0,0
0.8,0.73,0.61,0,0,0,0,,,0.8,0,0,0,0,0,0
0.9,0.21,0.19,0,0,0,0,,,0.9,0,0,0,0,0,0
1,0.1,0.1,0,0,0,0,,,1,0,0,0,0,0,0
