Precision  ,without reformulation,,,Automatic reformulation,,,Automatic reformulation  + user validation,,
,BM25 (Q1+Q2+Q3)/3,PL2,System,BM25,PL2,System,BM25,PL2,System
P5,0.8,0.667,0.734,0.667,0.667,0.667,0.6,0.6,0.6
P10,0.7,0.667,0.684,0.5,0.5,0.5,0.5,0.5,0.5
P15,0.643,0.6,0.622,0.469,0.467,0.468,0.467,0.467,0.467
P20,0.567,0.557,0.562,0.433,0.433,0.433,0.433,0.434,0.434
P100,0.257,0.257,0.257,0.227,0.227,0.227,0.227,0.223,0.225
AvgPrec 1,0.76,0.724,0.742,0.927,0.929,0.928,0.807,0.804,0.806
AvgPrec 2 (Interpolated),0.672,0.644,0.658,0.49,0.492,0.491,0.492,0.495,0.494
MAP,0.76,0.724,0.742,0.927,0.929,0.928,0.807,0.804,0.806
Relevant Doc,83,83,83,83,83,83,83,83,83
Returned System,238,238,476,115,115,230,116,116,232
Returned Rel Doc,78,78,156,78,78,156,68,68,136
